"Timestamp","Qual é o nome do seu mii?","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback"
"2017/10/10 8:30:26 pm GMT-6","Bibi","4","Achei a fase extraordinária, está muito clássica mesmo, até no labirinto . Exceto o boos, que é Mario Maker total. Teria dado cinco se fosse um Boo simples e tal. Parabéns. ","3","Bem divertida, mas tem muita coisa que só cabe no Mario Maker. Por isso meio fugiu do tema. Mas é bem curta e divertida. ","3","Adorei a fase, o Boos está super criativo. Mas não tem nada de tradicional nela. Pela fuga do tema nota três. ","3","A fase é muito divertida, mas parecia mais um castelo, pelos desafios e forma como está estruturada, do que uma casa Fantasma. O boos está muito legal, por incrível que pareça, apesar de usar mecanismos do Mario Maker, é que achei mais tradicional na fase. Mas como avalio pelo julgamento de se a fase poderia ou não fazer parte do Mario World oficial, dei a nota três. ","3","É uma tradicional fase do Leão. Com um toque leve de Labirinto. Mas não tem nada de clássico nela. Apesar de ter gostado muito a nota é três. ","4","Minha fase ","3","Linda a fase. Muito criativa. Mó lance dos canos está extraordinário. Pena que não é nada clássica. Se o tema fosse apenas Boo house ganharia fácil. Ah, e o Boos está muito legal também. Dá uma agonia pisar naquele chão que cai. ","2","Nossa, que fase difícil de acertar. De fato tudo muito apertado. Mas adorei. ","2","Desafio muito bom. Uma fase sensacional pro 12ic. Mas pro desafio de casa Fantasma tradicional não coube. Adorei. Ainda não passei. Mas estou tentando bastante. ","2","Muito boa a fase, criativa e requer um pouco de paciência. Mas muito legal. ","3","Muito boa. Com aquele toque legal de clássico, mas, como todas, cheio de Mario Maker. Gostei bastante. Fui trollado pela porta falta. Kkkk"
"2017/10/11 1:40:10 pm GMT-6","Renata","4","Muito boa! Bem no estilo tradicional!","3","Boa","3","Boa","1","Minha","2","Boa","2","Boa","3","Muito boa","2","Boa","2","Boa","3","Muito boa","4","Ótima "
"2017/10/11 7:57:31 pm GMT-6","Will","2","Boa fase,  porém talvez esteja muito simples para o desafio. ","2","Tem partes bem criativas,  mas em outras nem parece casa fantasma. ","2","Tem segredos interessantes e alguns inúteis.  Chefe bizarro.","3","Na parte da porta se chegar sem o p fica preso até morrer.  gostei da fase, mas não esperava encontrar fogo e tartarugas.  ","5","Me surpreendeu.  Fez uma ótima fase! ","2","A fase é legal,  mas não tá muito tradicional né? ","5","Eu","2","Ficou interessante,  diferente das outras.  ","2","Gostei da fase,  mas o final me deixou louco. A única que não passei.","3","Muito boa,  um pouco exagerada em fantasmas,  mas a dificuldade ficou legal. ","3","Bem tradicional, mas um pouco cansativa por ter que desviar de fantasma por todas as áreas e não ter checkpoint. "
"2017/10/12 10:47:50 am GMT-6","Marcyiello","4","...","3","...","4","...","4","...","5","...","3","...","5","...","3","...","3","...","3","...","3","..."
"2017/10/12 3:53:54 pm GMT-6","Sabado","3","Fase muito legal e bonita, porém foge um pouco do conceito de clássico no Boss","1","My Level","4","Ótima fase e belo Boss","4","Boa fase","4","Belo labirinto, parabéns","4","Boa fase, só no final que ñ achei uma certa fidelidade ao conceito de clássico, mas a fase está ótima","4","Ótima fase","1","Eu acho que a fase ñ seguio o conceito de clássico
","3","Boa fase, mas um pouco infiel ao tema, tirando isso, a fase está ótima","3","Boa ideia e ótima fase, porém ñ seguio os requistos propostos pela anfitriã","5","Ótima fase e muito fiel ao tema proposto"
"2017/10/12 4:20:30 pm GMT-6","TorviC","3","Curti a fase. Muito bem feita. Só achei que usou uma recursos não clássico rsrsr ","4","Excelente fase. Curti os desafios ","4","Não vou nota alta só de raiva rsrsrs boa fase. Mas não gosto de cruzes rsrsr","4","Show de bola, mas usou uma itens que não são do clássico. Muito bem feita a decoração. ","3","Curti a fase hein. Do nível de uma ghosts house.. só que podia ser sem o Yoshi hein rsrsr ","4","Muito boa a decoração","4","Rapaz, fugiu um pouco do clássico mas foi MT boa.","3","Muito boa a fase mas teve uns detalhes aí hein... Fora o Yoshi dentro da casa rsrsr.. damage boost rolou solto.","3","Boa d+ mas não ficou aqueeeeela fase clássica rsrsr","5","Muito boa.. cheguei até a cair na porqueira da chave que era um fantasma.. rsrsr","1","Blerg"
"2017/10/12 5:39:58 pm GMT-6","rage_jcsBR","5","Me fez sentir jogando uma fase tradicional de SMW, sem dúvida a 2a melhor que joguei...tem todo elemento clássico sem exageros...corrigindo alguns pequenos detalhes (uma questão de gosto no design) a fase seria perfeita.","3","Uma boa fase que respeita o estilo clássico da casa fantasma da série New. Infelizmente a falta de mais recursos no jogo limita um pouco a fase.","3","Uma boa fase de casa fantasma...mas para Mario Maker...fugiu um pouco do estilo tradicional (em termos de design) da casa fantasma do SMW.","3","Uma boa casa fantasma de Mario Maker, mas que foge ao estilo tradicional da casa fantasma de SMW, acho que retirando o fire bar e mudando um pouco design seria algo mais próximo do estilo clássico.","4","Uma ótima fase que puxa bem aquele estilo de labirinto/procure a saída que tinha na casa fantasma nos últimos mundos de SMW. Eliminando alguns exagero no design para abandonar um pouco a característica de labirinto seria nota 5.","3","uma boa e divertida fase no estilo new, um bom design, mas acho que a própria falta de recursos do jogo prejudicou no sentido de que não ficou uma casa fantasma clássica de NSMB.","3","Boa fase, que apresanta um design semelhante ao estilo clássico da casa fantasma de SMW, mas que acho que o segredo da fase fez fugir um pouco daquilo que é tradicional...mas é bem divertida e é um bom desafio.","3","uma fase divertida mas de SMM, e não de SMW, fugiu bastante do estilo clássico, e exagerou um pouco no número de inimigos...bom nível de desafio.","3","uma divertida fase e com ótimo nível de desafio, mas que foge ao estilo tradicional da casa fanstama de SMW...como uma ótima fase de SMM acho que só mudaria o final da fase porque nem todos os jogadores são tão persistentes ou habilidosos para terminar a fase.","1","Mudaria alguns elementos para aproximar mais do estilo clássico de SMW","5","Uma fase 99% perfeita, tanto em desafio e design, que remete ao estilo clássico de SMW. Senti que se não fosse a limitação desse jogo essa fase teria sido feita por alguém da própria Nintendo."
"2017/10/14 9:04:42 am GMT-6","Suller","3","Desafio muito divertido, como sempre! ","3","Ficou ótima sua fase! ","4","Muito boa, o boss ficou bem criativo ","3","Ficou muito top, mas teve elementos que não são tradicionais nas casas Boo, que nem na minha kkkkkk","3","Sua fase ficou legal e divertida. Parabéns ","3","Ficou bem divertida, só penei pra passar o boss kkkkk","5","Atendeu todos os requisitos da Renata e ficou surpreendentemente divertida. Parabéns mano!!!","1","Fase minha ","4","Ficou top, mas aquele mestre final foi de matar kkkkkk","3","Bem divertida hehe","3","Ficou legal, mas tem elementos que não são tradicionais de fases do boo, assim como a minha kkkkk"
"2017/10/14 11:29:16 pm GMT-6","Ricardinho","5","-","4","Fase bacana. Eu não tenho tantas referências do New, mas me pareceu tradicional. ","4","Fase muito divertida, porém, fugiu um pouco da proposta. Não é tão tradicional assim. ","4","Adorei a fase, mas existem elementos que não existem em fases tradicionais de ghost house, como as barras de fogo. ","4","Fase bacana, mas não achei tão tradicional. ","5","Apesar de ser uma fase de New Mario, que não conheço tanto, me pareceu muito tradicional, cumprindo o que foi proposto. ","5","Uma fase com muitos elementos tradicionais e apesar de não considerá-la como todo 100% clássica, darei nota 5 por ser a que chegou mais perto no World, assim como zadiee no New. ","3","Fase me deu claustrofobia! Rsrsrs! Não achei muito clássica, pelo que foi proposto. ","4","Adorei essa fase e o boss do final é de arrepiar os cabelos! ","4","Achei a fase muito interessante! Gostei da proposta! Parabéns! ","4","Fase muito bacana. Gostei da proposta! Parabéns! "
"2017/10/16 4:36:30 am GMT-6","Brayer","4","Me senti jogando em fase clássica. Muito boa. O chefe não tem muito cara de clássico, mas foi bem divertido.","4","Fase com cara de clássica boo house de SMW. As boo houses do wiiu são um pouco mais complexa. Mas foi bem divertida de jogar. Tive um pouco de dificuldade no final, mas foi bem legal.","1","Minha fase.","4","Bem legal a fase, não muito cara de clássica boo house. Dificuldade moderada e chefe bem divertido.","3","Acho que vi um pequeno traço de labirinto, mas ficou divertida até. Podia ter trabalhado um pouco mais no design.","3","Cara de clássica boo house. Chefe ficou nada convencional. Mas ficou bem legal.","5","Fase muito interessante, segredos bem escondidos. A parte do cano escondido me impressionou e o designer da fase ficou bem clássico. O chefe ficou muito legal tbm. Foi uma das que gostei mais. Parabéns!","4","Não tem cara de clássica boo house, mas ficou divertida a bessssa","3","Fase bem divertida até chegar no chefe. Um tanto quanto difícil. Mas ficou bem legal a fase. Não muito clássica.","5","Muito boa a ida e volta da fase fez lembrar bem fases clássicas boo de Mário. Sem contar o chefe que ficou simples e muito da hora. Uma das que gostei mais. Parabéns!","4","Muito ótima fase clássica. Ficou realmente com cara de clássica boo house, pecou apenas no bloco invisível que fez eu perder várias vidas pensando ser de outro modo que passava, já que foi anunciado pra não ter bloco invisível. Mas por todo resto foi demais. Designer ficou impecável."
