"Timestamp","Qual é o nome do seu mii?","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback","Nota","Feedback"
"2017/11/04 11:05:31 am GMT-7","Riley","3","Boa","4","Gostei muito de como reproduziu as plantas cuspideiras","3","Muito boa!","1","Minha","2","Boa","3","Muito boa","2","Boa ","2","Boa","2","Boa","2","Boa","3","Boa"
"2017/11/04 11:42:03 am GMT-7","PamelaBear","1","Minha fase ","3","Fase muito boa. Com difículdade na medida. Adorei relembrar o sétimo mundo. Parabéns. ","4","Amei, muito bem reconstruída. Ficou muito interessante. ","5","Show, extraordinário o efeito para fazer o mundo grande e o mundo pequeno. Parabéns. ","3","Muito boa, adoro essa fase no jogo e vc recriou ela muito bem. Ficou muito tranquilo passar. Podia ter espalhado moedas vermelhas pra obrigar a gente a explorar roda a fase. Pq sabendo o caminho vamos direto pra passada. ","2","Ficou bem legal. Mas a dificuldade pra acertar o tempo das plantas saindo dos canos me deixou bem frustrado por morrer bastante. Unir dias fases em uma ficou bem legal também. Parabéns. ","4","Mandou muito bem no labirinto Marcyiello (acertei o i). Ficou muito bem recriada e encaixou legal em Labirinto. ","2","A fase ficou muito boa. Mas ficou bem difícil pegar as moedas (mesmo não sendo necessárias) adorei os mecanismos que escolheste pra reproduzir o original. Mas há detalhes que, se vc tivesse tido o tempo de melhorar e tal, deixariam a fase perfeita. ","2","A primeira de Gelo está lindíssima, mas acrescentar a de água depois deu uma quebra no contexto. Enquanto fase ficou legal mas não sei se combinou de todo. Mas me divertir muito, está muito bem Remixado. Parabéns. ","4","Adorei o deserto recriado. Pra ficar perfeito faltou somente o P lá no céu que transforma as pirâmides de tijolo em moedas. Mas ficou muito boa. ","2","Muito bem recriado o castelo. E a mecânica usada antes do boos foi criativa também. Parabéns. "
"2017/11/05 8:07:23 am GMT-8","Will","3","- Bem legal,  gosto da idéia de tirar a água.  Passei sem as  moedas,  não entendi direito isso,  tem duas chaves? ","4","Bem fiel, se virou bem nas adaptações!","5","Minha ","5","pensei em fazer essa. Ficou ótima!  Parabéns.","2","A fase está bem montada,  mas se o jogador perder o poder fica sem poder finalizar. Pederia ter mais de uma chance. ","5","só não gostei da distorção na parte dos blocos musicais,  de resto perfeita!","3","seguiu um Labirinto sem fugir do tema.  Tá certo. ","2","a fase perdeu o espírito com partes onde tem que levar dano obrigatoriamente. E com a chave o chefe fica muito fácil. ","2","Ficou meio Locona a mistura de fases, mas não fugiu da proposta,  ok.","2","algumas mudanças eu não curti muito,  tipo os pow...","3","seguiu bem a original,  gostei."
"2017/11/05 2:19:45 pm GMT-8","EmmanoelBR","4","Inusitado mas curti","4","Adorei","3","Massa","4","Legal","3","Bacana mas fiquei preso após perder a folha","5","Curti","4","Bacana","5","Massa","5","Minha própria","2","Massinha","3","Legalzinha"
"2017/11/06 4:55:10 pm GMT-8","Marcyiello","4","Boas lembranças","4",".","5","A fase que mais me fez lembrar da época do Nintendinho.","5","Gostei da forma que você lidou com a questão da mudança de tamanho dos inimigos. Bem elaborada","4","De acordo com a fase e be feita.","3","Estava conivente com a original. Boa fase","5","Excelente.","3","Gostei da parte dos fogos na diagonal que fez lembrar de no original precisava saindo correndo pra não morrer no raio laser.","3","Fase divertida e boa de jogar","3","A fase das pirâmides, clássica!   Gostei","3","Relembra a original. Boa fase"
"2017/11/12 9:10:08 pm GMT-8","Ricardinho","5","Em breve... ","5","Em breve... ","5","Em breve... ","5","Em breve... ","5","Em breve... ","5","Em breve... ","5","Em breve... ","1","-","5","Em breve... ","5","Em breve... ","5","Em breve... "
"2017/11/13 3:51:07 pm GMT-8","Jr.Golden★","4","Gostei bastante mas, cadê a água? ","4","Bem adaptado porém, não tem o bônus escondido","4","Show de bola","4","Show de bola","3","Fiquei preso em algumas partes ","5","Boa adaptação ","5","Boa Adaptação ","5","Show de bola","4","Show de bola ","5","Boa adaptação ","3","É mais ou menos kkk"
"2017/11/15 3:33:22 pm GMT-8","rage_jcsBR","2","Acho que se tivesse feito na água mesmo teria ficado mais divertido.","5","Excelente fase com boa adaptação dos inimigos que faltam...","5","Excelente fase foi fiel ao original e adaptou bem o que não existe.","4","Cópia quase perfeita da fase e bem divertida. ","3","Boa fase mas acho que não foi um remix assim do tipo...foi mais uma cópia da própria fase original.","1","Moi","3","Boa fase de labirinto. Acho que não foi perfeito porque não era no deserto.","4","Ótima remix do Castelo final. Talvez ajustando algumas coisas ficaria 5 estrelas.","3","Bom remix e divertido...Mas sinto que faltou algo.","3","Acho que ficou confusa a parte da chave.","3","Acho que faltou melhorar a última parte antes do chefe. Ficou muito fácil morrer na primeira vez que chega nessa parte "
"2017/11/16 3:17:45 pm GMT-8","Sabado","5","Fase ótima e bem fiel. Uma ideia que vc poderia usar era encher de água depois de um tempo. Ficaria um pouco mais legal. Fase ótima","4","Fase muito boa e criativa","4","Fase muito boa e fiel ","4","Muito legal e nostálgica","3","Nostalgica","3","Bem legal","4","Belo labirinto, como sempre, kkk","3","Bela fase","3","Fase legal","1","A melhor fase","5","Fase muito fiel e nostalgica"
"2017/11/16 4:27:10 pm GMT-8","TorviC","5","Muito boa a jogada de tirar a água.. excelente","4","Muito boa. Fase.. bem fiel","4","Boa adaptação","4","Muito boa.","5","Rapaz, essa fase realmente ficou mt boa. Muito boa a adaptação.. falei que não ia dar mais nota alta mas dessa vez merece","4","Difícil","5","Eu achei que fosse zoeira sua.. mas realmente tá muito boa.. bem fiel.. fez boas adaptações. ","3","Fase difícil pra danado rsrsr","5","Cara... D+ sua fase... Super fiel","4","Boas adaptações, e as artes tb ficaram bem boas","1","Eu"
